category,item,amount
Spenden,Spenden von Privatpersonen,414272
Spenden,JobRad GmbH,10000
Spenden,GLS Treuhand e.V.,8000
Spenden,Wau Holland Stiftung,6000
Spenden,Hopp-Foundation for Computer Literacy,5000
Spenden,Stiftung für Wissenschaft und Kultur,5000
Spenden,Haus des Stiftens,3138
Spenden,AlgorithmWatch,2500
Spenden,Schöpflin Stiftung,2411
Spenden,UK Online Giving Foundation,2190
Spenden,Stifter für Stifter,1570
Spenden,Nautavis GmbH,1000
Spenden,Spenden von Institutionen/Unternehmen unter 1.000 €,5909
Zuschüsse,Bundesministerium für Bildung und Forschung,462517
Zuschüsse,Luminate Foundation,265426
Zuschüsse,Deutsche Bahn Stiftung,245238
Zuschüsse,Stiftung für Engagement und Ehrenamt,144920
Zuschüsse,Sächsisches Staatsministerium für Kultus,113026
Zuschüsse,Kulturstiftung des Bundes,98472
Zuschüsse,Bundesministerium für Wirtschaft und Energie,98353
Zuschüsse,European Climate Foundation,72996
Zuschüsse,Schöpflin Stiftung,70000
Zuschüsse,Bundesministerium für Bildung und Forschung,45149
Zuschüsse,Gesellschaft für Internationale Zusammenarbeit,43692
Zuschüsse,SKala-Initiative / Phineo,42509
Zuschüsse,Medienkompetenz & Innovationsförderung BE-BB,28388
Zuschüsse,Arnfried und Hannelore Meyer Stiftung,28031
Zuschüsse,Wikimedia Deutschland e. V.,19000
Zuschüsse,Goethe-Institut e.V.,17850
Zuschüsse,Phineo SKala Zukunftsfond,11889
Zuschüsse,Youth Policy Labs gGmbH,11130
Zuschüsse,Sea-Watch Legal Fund,10520
Zuschüsse,Berliner Sammelfonds,10000
Zuschüsse,Wikimedia Deutschland e. V.,10000
Zuschüsse,Kulturbehörde Freie und Hansestadt Hamburg,6537
Zuschüsse,Umweltbundesamt,4814
Zuschüsse,BAfZa Bundeskasse Trier,4800
Zuschüsse,Center for the Cultivation of Technology,3000
Zuschüsse,Postcodelotterie,1982
Zuschüsse,Medienanstalt Berlin Brandenburg,1920
Zuschüsse,Good Move gGmbH,1500
Zuschüsse,AlgorithmWatch,1150
Zuschüsse,Brot für die Welt,1089
Sponsoring durch Unternehmen,adesso insurance solutions GmbH,20500
Sponsoring durch Unternehmen,BSR Berliner Stadtreinigung,3500
Sponsoring durch Unternehmen,Sponsoring <1.000€,0
Wirtschaftliche Einnahmen,IJAB,81661
Wirtschaftliche Einnahmen,nexus Institut,25800
Wirtschaftliche Einnahmen,SenWEB,7143
Wirtschaftliche Einnahmen,Museum Brandhorst,5042
Wirtschaftliche Einnahmen,ComputerProjekt Köln e.V.,3512
Wirtschaftliche Einnahmen,Fundacja ePaństwo,3400
Wirtschaftliche Einnahmen,Node Verein zur Förderung Digitaler Kultur,1885
Wirtschaftliche Einnahmen,Otto Brenner Stiftung,1681
Wirtschaftliche Einnahmen,OSIFE,1474
Wirtschaftliche Einnahmen,mediale pfade e.V.,1207
Wirtschaftliche Einnahmen,Aufträge <1.000€,4419
